DATE,BLOCK,PLOT,BURNED,RODENTS,TRANSECT,SPECIES,1,2,3,4,5,6,7,8,9,10,11,12,mean,Orange,Density (m2)
2013,1,UN,U,N,3,VULP,0,0,0,0,0,0,1,0,0,0,0,0,0.083333333,N,0.666666667
2013,1,UN,U,N,3,ALAL,0,9,2,2,1,0,0,0,0,0,7,1,1.833333333,N,14.66666667
2013,1,UN,U,N,3,ERCI,0,0,3,0,1,0,2,0,0,0,2,0,0.666666667,N,5.333333333
2013,1,US,U,S,1,BRRU,57,18,4,10,1,25,14,8,7,15,1,13,14.41666667,Y,576.6666667
2013,1,US,U,S,1,SCAR,0,0,0,2,0,0,1,0,0,0,0,0,0.25,Y,10
2013,1,US,U,S,1,BRTE,0,0,0,0,0,0,1,0,0,0,0,0,0.083333333,N,0.666666667
2013,1,US,U,S,1,ERCI,0,2,0,0,0,0,0,0,1,0,3,0,0.5,N,4
2013,1,US,U,S,1,LUPI,0,0,0,0,0,0,0,3,0,0,0,0,0.25,N,2
2013,1,US,U,S,2,BRRU,15,16,7,19,6,16,0,9,18,7,15,7,11.25,Y,450
2013,1,US,U,S,2,SCAR,3,0,2,0,0,1,0,0,0,0,0,0,0.5,Y,20
2013,1,US,U,S,2,BRTE,0,0,0,2,1,0,0,0,0,0,0,0,0.25,N,2
2013,1,US,U,S,2,ONETHARIA,0,0,0,0,0,0,0,0,0,0,0,1,0.083333333,N,0.666666667
2013,1,US,U,S,2,ALAL,1,0,2,0,0,0,0,0,0,0,0,0,0.25,N,2
2013,1,US,U,S,2,CICU,0,0,1,2,2,1,1,0,1,1,4,0,1.083333333,N,8.666666667
2013,1,US,U,S,2,LUPI,0,0,0,0,0,1,0,0,0,0,0,0,0.083333333,N,0.666666667
2013,1,US,U,S,3,BRRU,40,22,19,25,16,24,0,16,7,9,17,3,16.5,Y,660
2013,1,US,U,S,3,SCAR,0,1,0,0,2,0,0,0,0,0,0,0,0.25,Y,10
2013,1,US,U,S,3,ALAL,0,1,0,0,1,0,0,0,0,0,0,0,0.166666667,N,1.333333333
2013,1,US,U,S,3,ERCI,0,0,1,0,1,0,0,2,4,0,0,1,0.75,N,6
2013,1,US,U,S,3,LUPI,0,0,0,0,0,0,0,0,1,0,0,1,0.166666667,N,1.333333333
2013,2,BN,B,N,1,BRRU,3,15,2,10,18,25,11,20,15,36,13,9,14.75,Y,590
2013,2,BN,B,N,1,SCAR,0,1,1,0,0,0,0,0,0,0,0,0,0.166666667,Y,6.666666667
2013,2,BN,B,N,1,ERCI,4,6,0,6,2,0,1,0,0,2,1,1,1.916666667,N,15.33333333
2013,2,BN,B,N,1,ASTR,3,0,0,1,2,0,0,0,0,0,0,0,0.5,N,4
2013,2,BN,B,N,2,BRRU,15,2,4,14,7,17,15,43,28,48,15,26,19.5,Y,780
2013,2,BN,B,N,2,SCAR,0,1,0,0,2,0,2,0,0,0,0,0,0.416666667,Y,16.66666667
2013,2,BN,B,N,2,CICU,2,1,2,0,3,0,1,0,1,1,1,0,1,N,8
2013,2,BN,B,N,2,ALAL,2,0,2,0,1,0,0,0,0,3,2,1,0.916666667,N,7.333333333
2013,2,BN,B,N,2,LUPI,2,1,0,0,0,0,0,0,0,0,0,0,0.25,N,2
2013,2,BN,B,N,3,BRRU,19,31,0,16,2,19,25,27,13,12,0,11,14.58333333,Y,583.3333333
2013,2,BN,B,N,3,BRTE,1,0,0,0,0,0,0,0,0,0,0,0,0.083333333,N,0.666666667
2013,2,BN,B,N,3,SCAR,0,1,0,1,0,0,1,0,2,0,0,0,0.416666667,Y,16.66666667
2013,2,BN,B,N,3,ASTR,0,0,0,0,0,0,0,0,0,0,0,1,0.083333333,N,0.666666667
2013,2,BN,B,N,3,ALAL,0,0,0,0,0,0,1,0,1,2,1,0,0.416666667,N,3.333333333
2013,2,BN,B,N,3,CICU,0,0,1,1,1,5,0,0,0,0,0,0,0.666666667,N,5.333333333
2013,2,BN,B,N,3,LUPI,0,0,0,0,0,0,0,0,0,3,0,0,0.25,N,2
2013,2,BS,B,S,1,BRRU,8,5,5,0,1,8,0,0,5,13,7,38,7.5,Y,300
2013,2,BS,B,S,1,SCAR,0,0,0,1,0,0,3,2,1,1,0,0,0.666666667,Y,26.66666667
2013,2,BS,B,S,1,ASTR,1,1,1,1,0,0,0,0,0,1,2,3,0.833333333,N,6.666666667
2013,2,BS,B,S,1,ERCI,2,2,2,1,3,2,0,0,2,3,5,0,1.833333333,N,14.66666667
2013,2,BS,B,S,1,ALAL,0,0,0,0,0,0,0,0,1,0,1,1,0.25,N,2
2013,2,BS,B,S,1,BAMU,0,0,0,0,0,0,0,0,0,0,1,0,0.083333333,N,0.666666667
2013,2,BS,B,S,2,BRRU,6,1,17,17,3,11,3,4,10,10,12,7,8.416666667,Y,336.6666667
2013,2,BS,B,S,2,SCAR,0,1,0,2,2,0,2,0,0,0,0,0,0.583333333,Y,23.33333333
2013,2,BS,B,S,2,BRTE,0,1,0,1,0,0,0,0,0,0,0,0,0.166666667,N,1.333333333
2013,2,BS,B,S,2,CICU,2,3,0,0,0,1,0,1,4,0,2,4,1.416666667,N,11.33333333
2013,2,BS,B,S,2,LUPI,0,1,0,0,0,0,0,1,1,1,0,0,0.333333333,N,2.666666667
2013,2,BS,B,S,3,BRRU,16,3,6,10,12,24,8,0,17,25,4,24,12.41666667,Y,496.6666667
2013,2,BS,B,S,3,SCAR,2,0,0,2,3,1,0,2,1,3,0,0,1.166666667,Y,46.66666667
2013,2,BS,B,S,3,BRTE,0,0,0,0,0,0,0,0,1,0,0,0,0.083333333,N,0.666666667
2013,2,BS,B,S,3,LUPI,1,0,0,1,0,0,0,0,0,0,0,0,0.166666667,N,1.333333333
2013,2,BS,B,S,3,CICU,0,0,1,2,0,0,1,0,0,0,1,0,0.416666667,N,3.333333333
2013,2,BS,B,S,3,ALAL,0,0,0,0,0,0,0,0,1,0,0,0,0.083333333,N,0.666666667
2013,2,BS,B,S,3,ASTR,0,0,0,0,0,0,0,0,2,0,0,0,0.166666667,N,1.333333333
2013,2,UN,U,N,1,BRRU,13,18,19,11,6,1,5,14,10,19,9,7,11,Y,440
2013,2,UN,U,N,1,BRTE,0,0,0,0,1,0,0,0,0,0,0,0,0.083333333,N,0.666666667
2013,2,UN,U,N,1,SCAR,0,0,0,0,0,0,0,0,0,1,0,0,0.083333333,Y,3.333333333
2013,2,UN,U,N,1,ASTR,2,2,0,0,0,0,0,0,1,0,0,0,0.416666667,N,3.333333333
2013,2,UN,U,N,1,ERCI,6,2,1,3,0,2,0,0,0,0,1,0,1.25,N,10
2013,2,UN,U,N,1,ALAL,0,1,0,0,0,0,0,0,3,0,0,0,0.333333333,N,2.666666667
2013,2,UN,U,N,2,BRRU,5,7,1,3,11,2,7,9,32,15,20,27,11.58333333,Y,463.3333333
2013,2,UN,U,N,2,BRTE,0,0,0,0,0,0,1,0,0,0,0,0,0.083333333,N,0.666666667
2013,2,UN,U,N,2,LUPI,2,0,0,0,0,0,0,0,0,0,0,0,0.166666667,N,1.333333333
2013,2,UN,U,N,2,ALAL,0,0,0,0,1,0,0,0,0,0,0,0,0.083333333,N,0.666666667
2013,2,UN,U,N,2,CICU,0,0,0,0,2,0,0,0,0,0,0,0,0.166666667,N,1.333333333
2013,2,UN,U,N,3,BRRU,0,9,11,6,0,2,0,0,4,19,0,9,5,Y,200
2013,2,UN,U,N,3,ALAL,0,0,1,0,1,0,0,0,0,0,1,0,0.25,N,2
2013,2,UN,U,N,3,CICU,0,0,0,0,0,0,0,0,0,0,1,0,0.083333333,N,0.666666667
2013,2,US,U,S,1,BRRU,10,10,10,12,5,6,11,12,30,5,7,0,9.833333333,Y,393.3333333
